Exp,x1,p1,t1,x2,p2,t2,N,k
Ericson15,16.67,1,0,66.67,1,0.75,7,3
Ericson15,16.67,1,0.25,66.67,1,0.5,4,0
Ericson15,16.67,1,0.25,66.67,1,0.75,9,1
Ericson15,16.67,1,0.25,66.67,1,1,2,1
Ericson15,16.67,1,0.5,66.67,1,0.75,7,0
Ericson15,16.67,1,0.5,66.67,1,1,3,0
Ericson15,16.67,1,0.5,66.67,1,1.25,5,3
Ericson15,20,1,0,21,1,0.25,6,5
Ericson15,20,1,0,21,1,0.5,5,5
Ericson15,20,1,0,21,1,0.75,10,9
Ericson15,20,1,0.25,21,1,0.5,8,8
Ericson15,20,1,0.25,21,1,0.75,10,10
Ericson15,20,1,0.25,21,1,1,3,3
Ericson15,20,1,0.5,21,1,0.75,5,4
Ericson15,20,1,0.5,21,1,1,8,8
Ericson15,20,1,0.5,21,1,1.25,3,3
Ericson15,20,1,0,22,1,0.25,5,5
Ericson15,20,1,0,22,1,0.5,2,1
Ericson15,20,1,0,22,1,0.75,7,7
Ericson15,20,1,0.25,22,1,0.5,7,5
Ericson15,20,1,0.25,22,1,0.75,6,5
Ericson15,20,1,0.25,22,1,1,8,8
Ericson15,20,1,0.5,22,1,0.75,3,2
Ericson15,20,1,0.5,22,1,1,3,3
Ericson15,20,1,0.5,22,1,1.25,3,3
Ericson15,20,1,0,25,1,0.25,5,3
Ericson15,20,1,0,25,1,0.5,4,4
Ericson15,20,1,0,25,1,0.75,2,2
Ericson15,20,1,0.25,25,1,0.5,14,13
Ericson15,20,1,0.25,25,1,0.75,6,6
Ericson15,20,1,0.25,25,1,1,10,9
Ericson15,20,1,0.5,25,1,0.75,5,3
Ericson15,20,1,0.5,25,1,1,6,6
Ericson15,20,1,0.5,25,1,1.25,4,4
Ericson15,20,1,0,30,1,0.25,1,1
Ericson15,20,1,0,30,1,0.5,4,4
Ericson15,20,1,0,30,1,0.75,5,4
Ericson15,20,1,0.25,30,1,0.5,7,4
Ericson15,20,1,0.25,30,1,0.75,6,5
Ericson15,20,1,0.25,30,1,1,7,5
Ericson15,20,1,0.5,30,1,0.75,13,6
Ericson15,20,1,0.5,30,1,1,9,9
Ericson15,20,1,0.5,30,1,1.25,2,2
Ericson15,25,1,0,75,1,0.25,7,6
Ericson15,25,1,0,75,1,0.5,6,4
Ericson15,25,1,0,75,1,0.75,4,2
Ericson15,25,1,0.25,75,1,0.5,3,0
Ericson15,25,1,0.25,75,1,0.75,4,2
Ericson15,25,1,0.25,75,1,1,1,1
Ericson15,25,1,0.5,75,1,0.75,8,2
Ericson15,25,1,0.5,75,1,1,6,2
Ericson15,25,1,0.5,75,1,1.25,5,1
Ericson15,33.33,1,0,133.33,1,0.25,2,0
Ericson15,33.33,1,0,133.33,1,0.5,13,4
Ericson15,33.33,1,0,133.33,1,0.75,5,1
Ericson15,33.33,1,0.25,133.33,1,0.5,9,1
Ericson15,33.33,1,0.25,133.33,1,0.75,5,0
Ericson15,33.33,1,0.25,133.33,1,1,5,1
Ericson15,33.33,1,0.5,133.33,1,0.75,5,3
Ericson15,33.33,1,0.5,133.33,1,1,3,0
Ericson15,33.33,1,0.5,133.33,1,1.25,7,0
Ericson15,40,1,0,42,1,0.25,10,10
Ericson15,40,1,0,42,1,0.5,3,3
Ericson15,40,1,0,42,1,0.75,9,9
Ericson15,40,1,0.25,42,1,0.5,6,6
Ericson15,40,1,0.25,42,1,0.75,5,5
Ericson15,40,1,0.25,42,1,1,3,3
Ericson15,40,1,0.5,42,1,0.75,4,4
Ericson15,40,1,0.5,42,1,1,9,9
Ericson15,40,1,0.5,42,1,1.25,7,7
Ericson15,40,1,0,50,1,0.25,4,4
Ericson15,40,1,0,50,1,0.5,8,7
Ericson15,40,1,0,50,1,0.75,4,4
Ericson15,40,1,0.25,50,1,0.5,2,1
Ericson15,40,1,0.25,50,1,0.75,7,6
Ericson15,40,1,0.25,50,1,1,7,6
Ericson15,40,1,0.5,50,1,0.75,7,4
Ericson15,40,1,0.5,50,1,1,6,6
Ericson15,40,1,0.5,50,1,1.25,8,6
Ericson15,50,1,0,50.5,1,0.25,7,7
Ericson15,50,1,0,50.5,1,0.5,5,5
Ericson15,50,1,0,50.5,1,0.75,3,3
Ericson15,50,1,0.25,50.5,1,0.5,8,8
Ericson15,50,1,0.25,50.5,1,0.75,6,6
Ericson15,50,1,0.25,50.5,1,1,7,7
Ericson15,50,1,0.5,50.5,1,0.75,6,5
Ericson15,50,1,0.5,50.5,1,1,7,7
Ericson15,50,1,0.5,50.5,1,1.25,6,6
Ericson15,50,1,0,55,1,0.25,1,0
Ericson15,50,1,0,55,1,0.5,6,6
Ericson15,50,1,0,55,1,0.75,6,6
Ericson15,50,1,0.25,55,1,0.5,7,7
Ericson15,50,1,0.25,55,1,0.75,9,8
Ericson15,50,1,0.25,55,1,1,8,8
Ericson15,50,1,0.5,55,1,0.75,12,10
Ericson15,50,1,0.5,55,1,1,3,3
Ericson15,50,1,0.5,55,1,1.25,10,9
Ericson15,50,1,0,100,1,0.25,9,4
Ericson15,50,1,0,100,1,0.5,4,2
Ericson15,50,1,0,100,1,0.75,7,6
Ericson15,50,1,0.25,100,1,0.5,5,3
Ericson15,50,1,0.25,100,1,0.75,3,1
Ericson15,50,1,0.25,100,1,1,5,5
Ericson15,50,1,0.5,100,1,0.75,7,3
