Exp,x1,p1,t1,x2,p2,t2,N,y
CG16_E3,5.6,1,1.75,7.2,1,2,25,19
CG16_E3,4,1,1.5,5.6,1,1.75,25,17
CG16_E3,4,1,1.5,9.6,1,2.25,25,8
CG16_E3,46,1,2,50,1,2.75,25,8
CG16_E3,42,1,1.5,46,1,2,25,8
CG16_E3,35,1,1,42,1,1.5,25,6
CG16_E3,35,1,1,50,1,2.75,25,19
CG16_E3,36.8,1,2,40,1,2.75,25,9
CG16_E3,33.6,1,1.5,36.8,1,2,25,9
CG16_E3,28,1,1,33.6,1,1.5,25,9
CG16_E3,28,1,1,40,1,2.75,25,19
CG16_E3,50.6,1,2,55,1,2.75,25,15
CG16_E3,46.2,1,1.5,50.6,1,2,25,12
CG16_E3,38.5,1,1,46.2,1,1.5,25,13
CG16_E3,38.5,1,1,55,1,2.75,25,20
CG16_E3,64.4,1,2,70,1,2.75,25,10
CG16_E3,58.8,1,1.5,64.4,1,2,25,8
CG16_E3,49,1,1,58.8,1,1.5,25,10
CG16_E3,49,1,1,70,1,2.75,25,25
CG16_E3,41.4,1,2,45,1,2.75,25,13
CG16_E3,37.8,1,1.5,41.4,1,2,25,6
CG16_E3,31.5,1,1,37.8,1,1.5,25,9
CG16_E3,31.5,1,1,45,1,2.75,25,20
CG16_E3,55.2,1,2,60,1,2.75,25,12
CG16_E3,50.4,1,1.5,55.2,1,2,25,9
CG16_E3,42,1,1,50.4,1,1.5,25,7
CG16_E3,42,1,1,60,1,2.75,25,20
Ericson15,0.03,1,0.25,0.13,1,1,8,2
Ericson15,0.03,1,0.5,0.13,1,1,3,1
Ericson15,0.05,1,0.25,0.15,1,1,3,3
Ericson15,0.05,1,0.5,0.15,1,1,4,0
Ericson15,0.1,1,0.25,0.2,1,1,7,5
Ericson15,0.1,1,0.5,0.2,1,1,5,2
Ericson15,0.17,1,0.25,0.67,1,1,5,3
Ericson15,0.17,1,0.5,0.67,1,1,8,6
Ericson15,0.2,1,0.25,0.3,1,1,8,3
Ericson15,0.2,1,0.5,0.3,1,1,3,2
Ericson15,0.25,1,0.25,0.75,1,1,6,5
Ericson15,0.25,1,0.5,0.75,1,1,6,3
Ericson15,0.33,1,0.25,1.33,1,1,4,2
