x1,p1,t1,x2,p2,t2,n,k,set
30,0.93,0,40,0.37,0,38,37,Erev
74,0.82,0,95,0.5,0,38,33,Erev
36,0.55,0,99,0.06,0,38,33,Erev
55,0.44,0,82,0.12,0,38,33,Erev
20,0.81,0,36,0.01,0,38,37,Erev
30,0.97,0,42,0.31,0,38,38,Erev
37,0.66,0,42,0.19,0,38,38,Erev
51,0.8,0,90,0.27,0,38,25,Erev
83,0.67,0,85,0.46,0,38,36,Erev
34,0.76,0,37,0.25,0,38,36,Erev
35,0.63,0,67,0.08,0,38,37,Erev
24,0.77,0,48,0.03,0,38,37,Erev
32,0.66,0,37,0.11,0,38,36,Erev
33,0.97,0,87,0.17,0,38,35,Erev
62,0.52,0,74,0.19,0,38,37,Erev
49,0.56,0,56,0.16,0,38,37,Erev
57,0.74,0,60,0.39,0,38,37,Erev
38,0.99,0,49,0.38,0,38,37,Erev
58,0.87,0,61,0.51,0,38,36,Erev
43,0.81,0,61,0.25,0,38,37,Erev
51,0.55,0,70,0.12,0,38,36,Erev
46,0.53,0,62,0.07,0,38,36,Erev
52,0.45,0,74,0.04,0,38,37,Erev
55,0.77,0,90,0.24,0,38,36,Erev
77,0.49,0,98,0.17,0,38,33,Erev
46,0.63,0,76,0.1,0,38,36,Erev
53,0.97,0,58,0.51,0,38,35,Erev
51,0.96,0,94,0.28,0,38,35,Erev
76,0.93,0,100,0.48,0,38,35,Erev
63,0.94,0,78,0.46,0,38,37,Erev
36,0.79,0,44,0.11,0,38,38,Erev
80,0.4,0,87,0.07,0,38,35,Erev
35,0.9,0,49,0.07,0,38,37,Erev
52,0.89,0,81,0.2,0,38,36,Erev
57,0.72,0,71,0.14,0,38,36,Erev
63,0.81,0,67,0.29,0,38,36,Erev
88,0.8,0,89,0.43,0,38,32,Erev
59,1,0,83,0.32,0,38,33,Erev
67,0.73,0,68,0.24,0,38,37,Erev
57,0.79,0,82,0.12,0,38,36,Erev
52,0.79,0,98,0.06,0,38,35,Erev
55,0.96,0,88,0.19,0,38,35,Erev
78,0.99,0,93,0.44,0,38,37,Erev
54,0.95,0,86,0.17,0,38,37,Erev
57,0.94,0,70,0.23,0,38,37,Erev
56,0.76,0,100,0.03,0,38,36,Erev
79,0.81,0,100,0.24,0,38,36,Erev
71,0.83,0,93,0.14,0,38,37,Erev
88,0.89,0,98,0.33,0,38,38,Erev
59,0.9,0,79,0.08,0,38,34,Erev
