trial,choice,manipulation,num,mean,trial_sort
RvA.4.Cert,RvA,Cert,4,0.36666666666666664,7
RvA.9.Cert,RvA,Cert,9,0.38333333333333336,8
RvA.15.Cert,RvA,Cert,15,0.4,9
RvA.6.Cert,RvA,Cert,6,0.43333333333333335,10
RvA.13.Cert,RvA,Cert,13,0.43333333333333335,11
RvA.10.Cert,RvA,Cert,10,0.45,12
RvA.12.Cert,RvA,Cert,12,0.48333333333333334,13
RvA.3.Cert,RvA,Cert,3,0.5333333333333333,14
RvA.8.Cert,RvA,Cert,8,0.5666666666666667,15
RvA.14.Cert,RvA,Cert,14,0.5833333333333334,16
DvA.10.Cert,DvA,Cert,10,0.2833333333333333,1
DvA.4.Cert,DvA,Cert,4,0.31666666666666665,2
DvA.2.Cert,DvA,Cert,2,0.3333333333333333,3
DvA.13.Cert,DvA,Cert,13,0.3333333333333333,4
DvA.1.Cert,DvA,Cert,1,0.35,5
DvA.3.Cert,DvA,Cert,3,0.35,6
DvA.8.Cert,DvA,Cert,8,0.35,7
DvA.11.Cert,DvA,Cert,11,0.36666666666666664,8
DvA.14.Cert,DvA,Cert,14,0.38333333333333336,9
DvA.15.Cert,DvA,Cert,15,0.4,10
DvA.16.Cert,DvA,Cert,16,0.4,11
DvA.7.Cert,DvA,Cert,7,0.43333333333333335,12
DvA.9.Cert,DvA,Cert,9,0.48333333333333334,13
DvA.12.Cert,DvA,Cert,12,0.48333333333333334,14
DvA.6.Cert,DvA,Cert,6,0.5,15
DvA.5.Cert,DvA,Cert,5,0.5166666666666667,16
DvR.14.Cert,DvR,Cert,14,0.11666666666666667,1
DvR.13.Cert,DvR,Cert,13,0.2,2
DvR.10.Cert,DvR,Cert,10,0.21666666666666667,3
DvR.12.Cert,DvR,Cert,12,0.21666666666666667,4
DvR.5.Cert,DvR,Cert,5,0.25,5
DvR.8.Cert,DvR,Cert,8,0.31666666666666665,6
DvR.9.Cert,DvR,Cert,9,0.31666666666666665,7
DvR.11.Cert,DvR,Cert,11,0.38333333333333336,8
DvR.16.Cert,DvR,Cert,16,0.4,9
DvR.1.Cert,DvR,Cert,1,0.45,10
DvR.3.Cert,DvR,Cert,3,0.45,11
DvR.4.Cert,DvR,Cert,4,0.4666666666666667,12
DvR.2.Cert,DvR,Cert,2,0.5,13
DvR.7.Cert,DvR,Cert,7,0.5166666666666667,14
DvR.6.Cert,DvR,Cert,6,0.5666666666666667,15
DvR.15.Cert,DvR,Cert,15,0.6,16
RvAD.5.Cert,RvAD,Cert,5,0.26666666666666666,1
RvAD.1.Cert,RvAD,Cert,1,0.3333333333333333,2
RvAD.6.Cert,RvAD,Cert,6,0.3333333333333333,3
RvAD.9.Cert,RvAD,Cert,9,0.3333333333333333,4
RvAD.4.Cert,RvAD,Cert,4,0.4166666666666667,5
RvAD.8.Cert,RvAD,Cert,8,0.4166666666666667,6
RvAD.10.Cert,RvAD,Cert,10,0.4166666666666667,7
RvAD.11.Cert,RvAD,Cert,11,0.4166666666666667,8
RvAD.12.Cert,RvAD,Cert,12,0.4166666666666667,9
RvAD.15.Cert,RvAD,Cert,15,0.48333333333333334,10
RvAD.3.Cert,RvAD,Cert,3,0.5,11
RvAD.2.Cert,RvAD,Cert,2,0.5166666666666667,12
RvAD.7.Cert,RvAD,Cert,7,0.5666666666666667,13
RvAD.16.Cert,RvAD,Cert,16,0.6166666666666667,14
RvAD.13.Cert,RvAD,Cert,13,0.65,15
RvAD.14.Cert,RvAD,Cert,14,0.75,16
DvAR.13.Cert,DvAR,Cert,13,0.15,1
DvAR.9.Cert,DvAR,Cert,9,0.23333333333333334,2
DvAR.11.Cert,DvAR,Cert,11,0.23333333333333334,3
DvAR.14.Cert,DvAR,Cert,14,0.23333333333333334,4
DvAR.4.Cert,DvAR,Cert,4,0.2833333333333333,5
DvAR.12.Cert,DvAR,Cert,12,0.2833333333333333,6
