"","p1","t1","x1","p2","t2","x2","trial","choice","manipulation","num"
"123",0.17,6,150,0.17,27,450,"DvA.11.Cert","DvA","Cert",11
"124",0.16,13,300,0.16,30,425,"DvA.12.Cert","DvA","Cert",12
"125",0.15,0,350,0.15,4,450,"DvA.13.Cert","DvA","Cert",13
"126",0.14,12,175,0.14,30,350,"DvA.14.Cert","DvA","Cert",14
"127",0.13,4,75,0.13,30,225,"DvA.15.Cert","DvA","Cert",15
"128",0.12,15,75,0.12,36,175,"DvA.16.Cert","DvA","Cert",16
"129",0.8,0,400,1,8,400,"DvR.1.Base","DvR","Base",1
"130",0.7,0,450,1,21,450,"DvR.2.Base","DvR","Base",2
"131",0.75,0,400,1,15,400,"DvR.3.Base","DvR","Base",3
"132",0.85,0,225,1,12,225,"DvR.4.Base","DvR","Base",4
"133",0.1,0,75,1,42,75,"DvR.5.Base","DvR","Base",5
"134",0.95,0,125,1,5,125,"DvR.6.Base","DvR","Base",6
"135",0.85,0,50,1,9,50,"DvR.7.Base","DvR","Base",7
"136",0.7,0,100,1,4,100,"DvR.8.Base","DvR","Base",8
"137",0.2,6,150,0.95,36,150,"DvR.9.Base","DvR","Base",9
"138",0.75,5,150,0.95,9,150,"DvR.10.Base","DvR","Base",10
"139",0.55,1,50,0.9,5,50,"DvR.11.Base","DvR","Base",11
"140",0.6,2,225,0.9,6,225,"DvR.12.Base","DvR","Base",12
"141",0.5,4,350,0.85,8,350,"DvR.13.Base","DvR","Base",13
"142",0.45,3,250,0.85,6,250,"DvR.14.Base","DvR","Base",14
"143",0.35,9,250,0.4,18,250,"DvR.15.Base","DvR","Base",15
"144",0.4,9,300,0.5,15,300,"DvR.16.Base","DvR","Base",16
"145",0.8,0,4000,1,8,4000,"DvR.1.Mag","DvR","Mag",1
"146",0.7,0,4500,1,21,4500,"DvR.2.Mag","DvR","Mag",2
"147",0.75,0,4000,1,15,4000,"DvR.3.Mag","DvR","Mag",3
"148",0.85,0,2250,1,12,2250,"DvR.4.Mag","DvR","Mag",4
"149",0.1,0,750,1,42,750,"DvR.5.Mag","DvR","Mag",5
"150",0.95,0,1250,1,5,1250,"DvR.6.Mag","DvR","Mag",6
"151",0.85,0,500,1,9,500,"DvR.7.Mag","DvR","Mag",7
"152",0.7,0,1000,1,4,1000,"DvR.8.Mag","DvR","Mag",8
"153",0.2,6,1500,0.95,36,1500,"DvR.9.Mag","DvR","Mag",9
"154",0.75,5,1500,0.95,9,1500,"DvR.10.Mag","DvR","Mag",10
"155",0.55,1,500,0.9,5,500,"DvR.11.Mag","DvR","Mag",11
"156",0.6,2,2250,0.9,6,2250,"DvR.12.Mag","DvR","Mag",12
"157",0.5,4,3500,0.85,8,3500,"DvR.13.Mag","DvR","Mag",13
"158",0.45,3,2500,0.85,6,2500,"DvR.14.Mag","DvR","Mag",14
"159",0.35,9,2500,0.4,18,2500,"DvR.15.Mag","DvR","Mag",15
"160",0.4,9,3000,0.5,15,3000,"DvR.16.Mag","DvR","Mag",16
"161",0.8,12,400,1,20,400,"DvR.1.Imm","DvR","Imm",1
"162",0.7,12,450,1,33,450,"DvR.2.Imm","DvR","Imm",2
"163",0.75,12,400,1,27,400,"DvR.3.Imm","DvR","Imm",3
"164",0.85,12,225,1,24,225,"DvR.4.Imm","DvR","Imm",4
"165",0.1,12,75,1,54,75,"DvR.5.Imm","DvR","Imm",5
"166",0.95,12,125,1,17,125,"DvR.6.Imm","DvR","Imm",6
"167",0.85,12,50,1,21,50,"DvR.7.Imm","DvR","Imm",7
"168",0.7,12,100,1,16,100,"DvR.8.Imm","DvR","Imm",8
"169",0.2,18,150,0.95,48,150,"DvR.9.Imm","DvR","Imm",9
"170",0.75,17,150,0.95,21,150,"DvR.10.Imm","DvR","Imm",10
"171",0.55,13,50,0.9,17,50,"DvR.11.Imm","DvR","Imm",11
"172",0.6,14,225,0.9,18,225,"DvR.12.Imm","DvR","Imm",12
"173",0.5,16,350,0.85,20,350,"DvR.13.Imm","DvR","Imm",13
"174",0.45,15,250,0.85,18,250,"DvR.14.Imm","DvR","Imm",14
"175",0.35,21,250,0.4,30,250,"DvR.15.Imm","DvR","Imm",15
"176",0.4,21,300,0.5,27,300,"DvR.16.Imm","DvR","Imm",16
"177",0.16,0,400,0.2,8,400,"DvR.1.Cert","DvR","Cert",1
"178",0.14,0,450,0.2,21,450,"DvR.2.Cert","DvR","Cert",2
"179",0.15,0,400,0.2,15,400,"DvR.3.Cert","DvR","Cert",3
"180",0.17,0,225,0.2,12,225,"DvR.4.Cert","DvR","Cert",4
"181",0.02,0,75,0.2,42,75,"DvR.5.Cert","DvR","Cert",5
"182",0.19,0,125,0.2,5,125,"DvR.6.Cert","DvR","Cert",6
"183",0.17,0,50,0.2,9,50,"DvR.7.Cert","DvR","Cert",7
"184",0.14,0,100,0.2,4,100,"DvR.8.Cert","DvR","Cert",8
"185",0.04,6,150,0.19,36,150,"DvR.9.Cert","DvR","Cert",9
"186",0.15,5,150,0.19,9,150,"DvR.10.Cert","DvR","Cert",10
"187",0.11,1,50,0.18,5,50,"DvR.11.Cert","DvR","Cert",11
"188",0.12,2,225,0.18,6,225,"DvR.12.Cert","DvR","Cert",12
"189",0.1,4,350,0.17,8,350,"DvR.13.Cert","DvR","Cert",13
"190",0.09,3,250,0.17,6,250,"DvR.14.Cert","DvR","Cert",14
"191",0.07,9,250,0.08,18,250,"DvR.15.Cert","DvR","Cert",15
"192",0.08,9,300,0.1,15,300,"DvR.16.Cert","DvR","Cert",16
"193",1,4,225,0.7,0,450,"RvAD.1.Base","RvAD","Base",1
"194",1,2,175,0.55,0,450,"RvAD.2.Base","RvAD","Base",2
"195",1,3,50,0.25,0,325,"RvAD.3.Base","RvAD","Base",3
