Paradigm,Exp,x1,p1,t1,x2,p2,t2,N,y
Choice,CG16_E1,580,1,0,600,1,5,28,28
Choice,CG16_E1,20,1,0,600,1,0.33,28,0
Choice,CG16_E1,40,1,0,600,1,0.33,28,0
Choice,CG16_E1,60,1,0,600,1,0.33,28,0
Choice,CG16_E1,80,1,0,600,1,0.33,28,0
Choice,CG16_E1,100,1,0,600,1,0.33,28,0
Choice,CG16_E1,120,1,0,600,1,0.33,28,0
Choice,CG16_E1,140,1,0,600,1,0.33,28,0
Choice,CG16_E1,160,1,0,600,1,0.33,28,0
Choice,CG16_E1,180,1,0,600,1,0.33,28,0
Choice,CG16_E1,200,1,0,600,1,0.33,28,0
Choice,CG16_E1,220,1,0,600,1,0.33,28,0
Choice,CG16_E1,240,1,0,600,1,0.33,28,0
Choice,CG16_E1,260,1,0,600,1,0.33,28,0
Choice,CG16_E1,280,1,0,600,1,0.33,28,0
Choice,CG16_E1,300,1,0,600,1,0.33,28,0
Choice,CG16_E1,320,1,0,600,1,0.33,28,1
Choice,CG16_E1,340,1,0,600,1,0.33,28,1
Choice,CG16_E1,360,1,0,600,1,0.33,28,1
Choice,CG16_E1,380,1,0,600,1,0.33,28,2
Choice,CG16_E1,400,1,0,600,1,0.33,28,3
Choice,CG16_E1,420,1,0,600,1,0.33,28,3
Choice,CG16_E1,440,1,0,600,1,0.33,28,3
Choice,CG16_E1,460,1,0,600,1,0.33,28,3
Choice,CG16_E1,480,1,0,600,1,0.33,28,3
Choice,CG16_E1,500,1,0,600,1,0.33,28,8
Choice,CG16_E1,520,1,0,600,1,0.33,28,12
Choice,CG16_E1,540,1,0,600,1,0.33,28,16
Choice,CG16_E1,560,1,0,600,1,0.33,28,21
Choice,CG16_E1,580,1,0,600,1,0.33,28,26
Choice,CG16_E2,80,1,2,100,1,4,28,11
Choice,CG16_E2,135,1,6,150,1,10,28,18
Choice,CG16_E2,773,1,40,800,1,60,28,23
Choice,CG16_E2,480,1,20,600,1,40,28,17
Choice,CG16_E2,471,1,12,540,1,21,28,15
Choice,CG16_E2,266,1,11,420,1,33,28,17
Choice,CG16_E2,575,1,40,660,1,70,28,22
Choice,CG16_E2,315,1,4,450,1,10,28,11
Choice,CG16_E2,356,1,7,500,1,17,28,10
Choice,CG16_E2,621,1,28,850,1,65,28,20
Choice,CG16_E2,228,1,30,360,1,90,28,21
Choice,CG16_E2,341,1,23,480,1,56,28,22
Choice,CG16_E2,495,1,10,990,1,50,28,11
Choice,CG16_E2,138,1,4,250,1,16,28,11
Choice,CG16_E2,505,1,40,580,1,70,28,25
Choice,CG16_E2,240,1,2,300,1,4,28,6
Choice,CG16_E2,405,1,6,450,1,10,28,10
Choice,CG16_E2,2320,1,40,2400,1,60,28,21
