Paradigm,Exp,x1,p1,t1,x2,p2,t2,N,y
Choice,Erev02,90,0.94,0,96,0.9,0,38,23
Choice,Erev02,59,0.9,0,79,0.08,0,38,34
Choice,Erev02,14,0.76,0,58,0.53,0,38,10
Choice,Erev02,22,0.59,0,65,0.45,0,38,9
Choice,Erev02,80,0.4,0,87,0.07,0,38,35
Choice,Erev02,37,0.65,0,45,0.55,0,38,29
Choice,Erev02,30,0.69,0,31,0.35,0,38,36
Choice,Erev02,71,0.83,0,93,0.14,0,38,37
Choice,Erev02,33,0.66,0,69,0.45,0,38,19
Choice,Erev02,50,0.35,0,88,0.17,0,38,32
Choice,Erev02,27,0.84,0,54,0.64,0,38,19
Choice,Erev02,1,0.35,0,2,0.08,0,38,38
Choice,Erev02,43,0.65,0,91,0.6,0,38,6
Choice,Erev02,8,0.76,0,38,0.02,0,38,35
Choice,Erev02,11,0.81,0,56,0.05,0,38,37
Choice,Erev02,82,0.91,0,86,0.06,0,38,38
Choice,Erev02,49,0.56,0,56,0.16,0,38,37
Choice,Erev02,63,0.81,0,67,0.29,0,38,36
Choice,Erev02,76,0.93,0,100,0.48,0,38,35
Choice,Erev02,14,0.16,0,39,0.05,0,38,29
Choice,Erev02,16,0.99,0,34,0.24,0,38,38
Choice,Erev02,2,0.69,0,85,0.1,0,38,18
Choice,Erev02,7,0.97,0,8,0.61,0,38,35
Choice,Erev02,17,0.43,0,91,0.13,0,38,25
Choice,Erev02,16,0.94,0,18,0.14,0,38,35
Choice,Erev02,9,0.63,0,91,0.53,0,38,6
Choice,Erev02,1,0.8,0,88,0.71,0,38,1
Choice,Erev02,79,0.81,0,100,0.24,0,38,36
Choice,Erev02,14,0.22,0,39,0.01,0,38,31
Choice,Erev02,31,0.93,0,55,0.72,0,38,25
Choice,Erev02,11,0.95,0,79,0.62,0,38,16
Choice,Erev02,19,0.91,0,79,0.24,0,38,27
Choice,Erev02,72,0.29,0,78,0.13,0,38,38
Choice,Erev02,25,0.33,0,94,0.03,0,38,32
Choice,Erev02,52,0.82,0,70,0.78,0,38,11
Choice,Erev02,19,0.97,0,94,0.51,0,38,19
Choice,Erev02,36,0.17,0,41,0.13,0,38,17
Choice,Erev02,10,0.88,0,36,0.44,0,38,30
Choice,Erev02,47,0.67,0,92,0.57,0,38,9
Choice,Erev02,5,0.88,0,69,0.84,0,38,3
Choice,Erev02,31,0.6,0,93,0.55,0,38,3
Choice,Erev02,1,0.93,0,68,0.52,0,38,12
Choice,Erev02,32,0.15,0,85,0.12,0,38,2
Choice,Erev02,1,1,0,31,0.51,0,38,19
Choice,Erev02,13,0.54,0,90,0.45,0,38,3
Choice,Erev02,24,0.67,0,66,0.17,0,38,35
Choice,Erev02,3,0.89,0,78,0.82,0,38,4
Choice,Erev02,35,0.9,0,49,0.07,0,38,37
Choice,Erev02,63,0.94,0,78,0.46,0,38,37
Choice,Erev02,26,0.48,0,46,0.06,0,38,38
Choice,Erev02,37,0.9,0,48,0.63,0,38,26
Choice,Erev02,87,0.66,0,96,0.47,0,38,34
Choice,Erev02,21,0.89,0,96,0.87,0,38,5
Choice,Erev02,13,0.77,0,46,0.7,0,38,8
Choice,Erev02,57,0.1,0,75,0.07,0,38,23
Choice,Erev02,30,0.28,0,74,0.09,0,38,37
Choice,Erev02,59,1,0,83,0.32,0,38,33
Choice,Erev02,54,0.95,0,86,0.17,0,38,37
Choice,Erev02,21,0.79,0,79,0.23,0,38,33
Choice,Erev02,16,0.63,0,70,0.54,0,38,3
Choice,Erev02,57,0.74,0,60,0.39,0,38,37
Choice,Erev02,46,0.53,0,62,0.07,0,38,36
Choice,Erev02,30,0.93,0,40,0.37,0,38,37
Choice,Erev02,75,0.79,0,98,0.57,0,38,28
Choice,Erev02,39,0.78,0,78,0.7,0,38,9
Choice,Erev02,57,0.79,0,82,0.12,0,38,36
Choice,Erev02,4,0.45,0,75,0.19,0,38,9
Choice,Erev02,18,0.4,0,71,0.3,0,38,7
Choice,Erev02,41,0.18,0,91,0.1,0,38,11
Choice,Erev02,36,0.55,0,99,0.06,0,38,33
Choice,Erev02,33,0.97,0,87,0.17,0,38,35
Indiff,VGM_15_E1,545.5525606,1,0,800,0.8,0,50,25
Indiff,VGM_15_E1,213.4770889,1,0,800,0.4,0,50,25
Indiff,VGM_15_E1,153.0997305,1,0,800,0.25,0,50,25
Indiff,VGM_15_E1,79.78436658,1,0,800,0.1,0,50,25
Indiff,VGM_15_E2A,556.9163663,1,0,800,0.8,0,50,25
Indiff,VGM_15_E2A,285.0485349,1,0,800,0.4,0,50,25
Indiff,VGM_15_E2A,191.4546913,1,0,800,0.25,0,50,25
Indiff,VGM_15_E2A,115.6882465,1,0,800,0.1,0,50,25
Indiff,VGM_15_E2B,557.7142857,1,0,800,0.8,0,50,25
Indiff,VGM_15_E2B,274.2857143,1,0,800,0.4,0,50,25
Indiff,VGM_15_E2B,194.2857143,1,0,800,0.25,0,50,25
Indiff,VGM_15_E2B,109.7142857,1,0,800,0.1,0,50,25
Indiff,YPB_06,9.34782609,1,0,10,0.75,0,27,14
Indiff,YPB_06,7.36956522,1,0,10,0.6,0,27,14
Indiff,YPB_06,6.32608696,1,0,10,0.4,0,27,14
Indiff,YPB_06,4.13043478,1,0,10,0.25,0,27,14
Indiff,YPB_06,2.36956522,1,0,10,0.05,0,27,14
Indiff,YPB_06,704.347826,1,0,1000,0.6,0,27,14
Indiff,YPB_06,584.782609,1,0,1000,0.4,0,27,14
Indiff,YPB_06,308.695652,1,0,1000,0.25,0,27,14
Indiff,YPB_06,163.043478,1,0,1000,0.05,0,27,14
Indiff,WC_05_T5,38.32,1,0,100,0.5,0,124,62
Indiff,WC_05_T6,535,1,0,3000,0.33,0,161,80
Indiff,WC_05_T6,461.48,1,0,2700,0.34,0,161,80
Indiff,Myerson et al_03S1,168.4507042,1,0,200,0.95,0,101,50
Indiff,Myerson et al_03S1,148.7323944,1,0,200,0.9,0,101,50
Indiff,Myerson et al_03S1,105.915493,1,0,200,0.7,0,101,50
Indiff,Myerson et al_03S1,47.887324,1,0,200,0.33,0,101,50
Indiff,Myerson et al_03S1,38.3098592,1,0,200,0.25,0,101,50
Indiff,Myerson et al_03S1,20.2816902,1,0,200,0.1,0,101,50
Indiff,Myerson et al_03S1,11.830986,1,0,200,0.05,0,101,50
Indiff,Myerson et al_03S2,170.3496504,1,0,200,0.95,0,171,86
Indiff,Myerson et al_03S2,155.8041958,1,0,200,0.9,0,171,86
Indiff,Myerson et al_03S2,120,1,0,200,0.75,0,171,86
Indiff,Myerson et al_03S2,76.3636364,1,0,200,0.5,0,171,86
Indiff,Myerson et al_03S2,48.3916084,1,0,200,0.33,0,171,86
Indiff,Myerson et al_03S2,24.3356644,1,0,200,0.1,0,171,86
Indiff,Myerson et al_03S2,14.2657342,1,0,200,0.05,0,171,86
Indiff,GMO_99_E1,411.86440700000003,1,0,500,0.95,0,68,34
Indiff,GMO_99_E1,369.4915255,1,0,500,0.9,0,68,34
Indiff,GMO_99_E1,249.1525425,1,0,500,0.7,0,68,34
Indiff,GMO_99_E1,125.423729,1,0,500,0.4,0,68,34
Indiff,GMO_99_E1,58.5714285,1,0,500,0.1,0,68,34
Indiff,GMO_99_E1,38.5714285,1,0,500,0.05,0,68,34
Indiff,GMO_99_E1,7525.42373,1,0,10000,0.95,0,68,34
Indiff,GMO_99_E1,6644.0678,1,0,10000,0.9,0,68,34
Indiff,GMO_99_E1,4135.59322,1,0,10000,0.7,0,68,34
Indiff,GMO_99_E1,1898.30508,1,0,10000,0.4,0,68,34
Indiff,GMO_99_E1,571.42857,1,0,10000,0.1,0,68,34
Indiff,GMO_99_E1,371.42857,1,0,10000,0.05,0,68,34
Indiff,GMO_99_E2,3821.256039,1,0,5000,0.95,0,30,15
Indiff,GMO_99_E2,3550.724638,1,0,5000,0.9,0,30,15
Indiff,GMO_99_E2,2236.714976,1,0,5000,0.7,0,30,15
Indiff,GMO_99_E2,739.1304348,1,0,5000,0.4,0,30,15
Indiff,GMO_99_E2,236.7149758,1,0,5000,0.1,0,30,15
Indiff,GMO_99_E2,120.7729469,1,0,5000,0.05,0,30,15
Indiff,GMO_99_E2,157.6923077,1,0,200,0.95,0,30,15
Indiff,GMO_99_E2,147.6923077,1,0,200,0.9,0,30,15
Indiff,GMO_99_E2,107.6923077,1,0,200,0.7,0,30,15
Indiff,GMO_99_E2,50,1,0,200,0.4,0,30,15
Indiff,GMO_99_E2,25,1,0,200,0.1,0,30,15
Indiff,GMO_99_E2,17.69230769,1,0,200,0.05,0,30,15
Indiff,GW99,4,1,0,25,0.01,0,10,5
Indiff,GW99,4,1,0,25,0.05,0,10,5
Indiff,GW99,8,1,0,25,0.1,0,10,5
Indiff,GW99,9,1,0,25,0.25,0,10,5
Indiff,GW99,10,1,0,25,0.4,0,10,5
Indiff,GW99,9.5,1,0,25,0.5,0,10,5
Indiff,GW99,12,1,0,25,0.6,0,10,5
Indiff,GW99,11.5,1,0,25,0.75,0,10,5
Indiff,GW99,14.5,1,0,25,0.9,0,10,5
Indiff,GW99,13,1,0,25,0.95,0,10,5
Indiff,GW99,19,1,0,25,0.99,0,10,5
Indiff,GW99,6,1,0,50,0.01,0,10,5
Indiff,GW99,7,1,0,50,0.05,0,10,5
Indiff,GW99,8,1,0,50,0.1,0,10,5
Indiff,GW99,12.5,1,0,50,0.25,0,10,5
Indiff,GW99,10,1,0,50,0.4,0,10,5
Indiff,GW99,14,1,0,50,0.5,0,10,5
Indiff,GW99,12.5,1,0,50,0.6,0,10,5
Indiff,GW99,19.5,1,0,50,0.75,0,10,5
Indiff,GW99,22.5,1,0,50,0.9,0,10,5
Indiff,GW99,27.5,1,0,50,0.95,0,10,5
Indiff,GW99,40,1,0,50,0.99,0,10,5
Indiff,GW99,5,1,0,75,0.01,0,10,5
Indiff,GW99,10,1,0,75,0.05,0,10,5
Indiff,GW99,8.5,1,0,75,0.1,0,10,5
Indiff,GW99,14,1,0,75,0.25,0,10,5
Indiff,GW99,17,1,0,75,0.4,0,10,5
Indiff,GW99,16,1,0,75,0.5,0,10,5
Indiff,GW99,18,1,0,75,0.6,0,10,5
Indiff,GW99,23,1,0,75,0.75,0,10,5
Indiff,GW99,36,1,0,75,0.9,0,10,5
Indiff,GW99,31.5,1,0,75,0.95,0,10,5
Indiff,GW99,48.5,1,0,75,0.99,0,10,5
Indiff,GW99,10,1,0,100,0.01,0,10,5
Indiff,GW99,10,1,0,100,0.05,0,10,5
Indiff,GW99,15,1,0,100,0.1,0,10,5
Indiff,GW99,21,1,0,100,0.25,0,10,5
Indiff,GW99,19,1,0,100,0.4,0,10,5
Indiff,GW99,23,1,0,100,0.5,0,10,5
Indiff,GW99,35,1,0,100,0.6,0,10,5
Indiff,GW99,31,1,0,100,0.75,0,10,5
Indiff,GW99,63,1,0,100,0.9,0,10,5
Indiff,GW99,58,1,0,100,0.95,0,10,5
Indiff,GW99,84.5,1,0,100,0.99,0,10,5
Indiff,GW99,10,1,0,150,0.01,0,10,5
Indiff,GW99,10,1,0,150,0.05,0,10,5
Indiff,GW99,18,1,0,150,0.1,0,10,5
Indiff,GW99,25,1,0,150,0.25,0,10,5
Indiff,GW99,34,1,0,150,0.4,0,10,5
Indiff,GW99,25,1,0,150,0.5,0,10,5
Indiff,GW99,49,1,0,150,0.6,0,10,5
Indiff,GW99,70,1,0,150,0.75,0,10,5
Indiff,GW99,41.5,1,0,150,0.9,0,10,5
Indiff,GW99,106,1,0,150,0.95,0,10,5
Indiff,GW99,118,1,0,150,0.99,0,10,5
Indiff,GW99,6,1,0,200,0.01,0,10,5
Indiff,GW99,9,1,0,200,0.05,0,10,5
Indiff,GW99,21,1,0,200,0.1,0,10,5
Indiff,GW99,26.5,1,0,200,0.25,0,10,5
Indiff,GW99,34.5,1,0,200,0.4,0,10,5
Indiff,GW99,34,1,0,200,0.5,0,10,5
Indiff,GW99,56,1,0,200,0.6,0,10,5
Indiff,GW99,48,1,0,200,0.75,0,10,5
Indiff,GW99,80,1,0,200,0.9,0,10,5
Indiff,GW99,102,1,0,200,0.95,0,10,5
Indiff,GW99,158,1,0,200,0.99,0,10,5
Indiff,GW99,18,1,0,400,0.01,0,10,5
Indiff,GW99,24,1,0,400,0.05,0,10,5
Indiff,GW99,24,1,0,400,0.1,0,10,5
Indiff,GW99,54,1,0,400,0.25,0,10,5
Indiff,GW99,64,1,0,400,0.4,0,10,5
Indiff,GW99,58,1,0,400,0.5,0,10,5
Indiff,GW99,58,1,0,400,0.6,0,10,5
Indiff,GW99,115,1,0,400,0.75,0,10,5
Indiff,GW99,208.5,1,0,400,0.9,0,10,5
Indiff,GW99,249,1,0,400,0.95,0,10,5
Indiff,GW99,277,1,0,400,0.99,0,10,5
Indiff,GW99,9.5,1,0,800,0.01,0,10,5
Indiff,GW99,42,1,0,800,0.05,0,10,5
Indiff,GW99,36,1,0,800,0.1,0,10,5
Indiff,GW99,90,1,0,800,0.25,0,10,5
Indiff,GW99,91,1,0,800,0.4,0,10,5
Indiff,GW99,89.5,1,0,800,0.5,0,10,5
Indiff,GW99,207,1,0,800,0.6,0,10,5
Indiff,GW99,197.5,1,0,800,0.75,0,10,5
Indiff,GW99,404,1,0,800,0.9,0,10,5
Indiff,GW99,448.5,1,0,800,0.95,0,10,5
Indiff,GW99,519,1,0,800,0.99,0,10,5
