V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96
55,72,64,55,53,40,46,70,49,54,46,65,65,73,58,65,56,61,43,53,60,48,52,53,59,39,54,53,47,37,54,40,33,45,43,62,9,62,48,26,15,36,24,24,24,15,40,40,55,65,76,65,70,71,81,68,35,60,40,73,78,82,61,63,44,66,40,29,38,26,68,33,24,14,21,29,39,24,28,39,56,69,56,54,59,64,66,74,74,75,54,54,79,43,69,55
62,65,65,62,64,57,52,65,67,60,42,67,57,66,60,63,60,66,49,60,53,55,54,64,66,40,43,55,55,52,44,44,41,39,46,62,18,61,49,29,25,31,24,26,26,17,46,26,63,73,70,66,69,74,75,67,49,60,50,74,81,78,70,60,47,67,41,31,41,21,69,47,32,22,24,24,42,31,29,51,68,77,65,51,64,71,68,79,74,73,48,52,78,42,57,67
68,63,71,63,63,57,53,64,64,63,48,68,55,71,61,61,62,67,47,60,66,49,65,62,69,49,51,60,39,49,41,52,32,42,40,60,17,65,48,24,14,34,24,18,26,20,37,42,56,72,78,75,68,70,82,71,53,70,47,70,77,69,57,59,44,59,50,29,41,33,59,49,30,22,19,29,44,31,25,41,69,79,62,59,68,68,70,73,68,74,53,56,71,48,49,61
71,66,74,68,62,56,58,68,57,64,47,64,64,62,58,58,63,65,50,57,68,58,54,58,63,43,53,60,42,36,40,48,26,53,48,54,19,67,50,20,10,33,19,18,22,15,41,50,63,74,81,75,68,77,83,70,42,74,46,80,82,76,69,55,51,62,47,27,37,36,68,55,27,15,25,39,40,22,26,35,73,78,69,56,67,75,65,78,79,77,59,57,82,36,58,71
58,74,69,65,59,60,69,71,56,64,52,67,58,75,54,66,48,65,57,63,65,63,50,53,59,40,53,52,47,43,53,51,37,50,57,62,18,55,51,25,25,40,25,20,15,21,37,39,57,70,84,62,77,75,82,69,55,60,57,73,82,79,64,57,49,56,48,25,41,27,71,44,33,22,31,32,40,31,28,50,74,77,66,62,61,72,69,81,75,79,61,61,84,40,62,65
60,57,71,68,56,52,55,66,56,50,53,70,59,78,54,65,55,57,49,62,58,56,50,51,71,44,48,53,42,52,42,42,38,56,45,57,15,66,45,24,14,33,24,32,18,15,45,43,53,70,70,74,71,79,79,58,41,66,57,79,83,75,69,72,53,60,47,28,39,34,65,43,35,21,21,26,40,35,22,41,69,74,66,50,64,59,64,76,77,75,56,50,80,44,66,62
64,60,64,64,60,44,50,67,57,60,43,76,61,67,63,60,67,67,50,60,61,55,66,59,56,49,58,54,46,53,46,42,26,44,37,69,16,66,54,24,20,26,19,16,21,13,49,26,64,72,74,71,70,73,75,64,45,67,48,73,76,80,69,63,61,57,46,25,36,32,68,39,31,11,25,32,38,25,25,42,64,78,69,61,59,66,69,77,73,81,59,51,80,49,63,69
60,54,68,66,65,59,47,56,61,59,54,66,54,71,49,65,58,66,53,65,61,53,54,63,59,50,56,55,43,36,48,51,36,51,51,61,17,58,50,28,23,34,27,19,26,21,52,41,60,73,74,65,60,72,74,71,44,60,41,68,75,70,62,61,55,60,45,28,40,31,69,44,31,17,21,40,38,30,25,40,69,67,71,65,65,72,68,71,69,79,61,47,77,50,58,69
61,60,75,67,65,59,56,68,63,64,53,69,58,78,66,67,69,68,45,66,70,59,53,59,72,52,41,65,53,52,52,40,34,57,46,57,18,59,45,21,19,35,25,21,17,13,51,42,73,74,86,75,74,75,81,69,54,69,58,75,87,81,72,57,55,61,49,23,35,33,71,40,36,23,20,35,35,28,29,41,70,84,70,67,71,71,73,80,76,86,61,66,87,37,66,78
70,58,66,65,61,53,59,65,56,56,47,73,54,78,56,65,52,55,51,63,64,55,46,52,59,43,45,55,53,49,54,47,39,46,49,59,14,67,50,20,20,29,33,17,21,28,48,38,61,62,74,65,65,75,76,75,32,64,61,75,82,73,66,63,59,59,38,27,38,28,65,44,35,22,21,33,46,27,23,37,64,70,60,43,64,61,61,72,73,75,66,45,77,36,66,61
